,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_num_heads,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,-105.44999694824219,2020-06-02 11:17:13.534666,2020-06-02 13:03:46.449410,0 days 01:46:32.914744000,1.0,No,6,element_wise_squared_loss,4,10,7,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
1,1,-9.550000190734863,2020-06-02 13:03:46.454012,2020-06-02 14:53:24.131021,0 days 01:49:37.677009000,0.5,No,6,element_wise_squared_loss,4,5,2,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
2,2,-196.10000610351562,2020-06-02 14:53:24.133745,2020-06-02 16:21:46.594389,0 days 01:28:22.460644000,0.5,No,3,element_wise_squared_loss,4,10,1,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
3,3,-201.5,2020-06-02 16:21:46.596785,2020-06-02 17:50:09.420790,0 days 01:28:22.824005000,1.0,No,3,element_wise_squared_loss,4,10,5,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
4,4,-153.4499969482422,2020-06-02 17:50:09.423326,2020-06-02 19:23:56.913431,0 days 01:33:47.490105000,1.0,No,6,element_wise_squared_loss,4,5,6,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
5,5,-160.89999389648438,2020-06-02 19:23:56.919174,2020-06-02 20:46:19.548126,0 days 01:22:22.628952000,1.0,No,3,element_wise_squared_loss,4,5,4,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
6,6,-177.6999969482422,2020-06-02 20:46:19.551722,2020-06-02 22:09:27.321208,0 days 01:23:07.769486000,0.5,No,3,element_wise_squared_loss,4,5,0,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
7,7,-158.35000610351562,2020-06-02 22:09:27.324648,2020-06-02 23:38:40.185087,0 days 01:29:12.860439000,0.5,No,6,element_wise_squared_loss,4,10,3,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No']), ('layer_type', [3, 6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [4]), ('target_update_period', [5, 10])])",COMPLETE
