,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_custom_last_layer,params_custom_layer_init,params_custom_lr_schedule,params_doubleQ,params_encoder_type,params_epsilon_greedy,params_gamma,params_gradient_clipping,params_initial_collect_steps,params_layer_type,params_learning_rate,params_loss_function,params_normalize_env,params_num_heads,params_rate,params_replay_buffer_max_length,params_target_update_period,params_target_update_tau,state
10,10,121.55000305175781,2020-05-15 16:48:12.464336,2020-05-15 17:16:44.252263,0 days 00:28:31.787927000,32,False,0.5,Transformer,False,3,0.3,0.99,True,100,1,0.001,element_wise_squared_loss,False,2,0.3,200000,5,0.1,COMPLETE
21,21,120.05000305175781,2020-05-15 22:26:11.046460,2020-05-15 22:55:48.323783,0 days 00:29:37.277323000,32,False,0.5,Transformer,False,3,0.3,0.99,True,100,1,0.001,element_wise_squared_loss,False,2,0.3,200000,5,0.1,COMPLETE
23,23,121.5,2020-05-15 23:23:33.020000,2020-05-15 23:51:27.815481,0 days 00:27:54.795481000,32,False,0.5,Transformer,False,3,0.3,0.99,True,100,1,0.001,element_wise_squared_loss,False,2,0.3,200000,5,0.1,COMPLETE
24,24,118.64999389648438,2020-05-15 23:51:27.824833,2020-05-16 00:18:01.278567,0 days 00:26:33.453734000,32,False,0.5,Transformer,False,3,0.3,0.99,True,100,1,0.001,element_wise_squared_loss,False,2,0.3,200000,5,0.1,COMPLETE
25,25,121.25,2020-05-16 00:18:01.284695,2020-05-16 00:38:55.955279,0 days 00:20:54.670584000,32,False,0.5,Transformer,False,3,0.3,0.99,True,100,1,0.001,element_wise_squared_loss,False,2,0.3,200000,5,0.1,COMPLETE
