,number,value,datetime_start,datetime_complete,params_batch_size,params_custom_last_layer,params_custom_layer_init,params_custom_lr_schedule,params_doubleQ,params_encoder_type,params_epsilon_greedy,params_gamma,params_gradient_clipping,params_initial_collect_steps,params_layer_type,params_learning_rate,params_loss_function,params_normalize_env,params_num_heads,params_rate,params_replay_buffer_max_length,params_target_update_period,params_target_update_tau,state
4,4,-24.007856369018555,2020-05-17 02:17:58.035345,2020-05-17 02:29:55.302104,32,True,1.0,Transformer,False,3,0.2,0.99,True,1000,3,0.001,element_wise_huber_loss,False,2,0.1,100000,10,0.05,COMPLETE
13,13,-0.4055609703063965,2020-05-17 03:57:55.393100,2020-05-17 04:08:53.139449,32,False,,Transformer,False,3,0.2,0.99,True,100,3,0.0001,element_wise_huber_loss,False,4,0.1,200000,10,0.05,COMPLETE
22,22,-6.613778114318848,2020-05-17 05:39:57.298637,2020-05-17 05:51:00.960387,32,True,1.0,Transformer_low,False,3,0.2,0.99,True,100,3,0.0001,element_wise_huber_loss,False,8,0.1,200000,10,0.05,COMPLETE
27,27,-4.954734802246094,2020-05-17 06:34:36.536793,2020-05-17 06:45:24.930257,32,True,1.0,Transformer,False,3,0.2,0.99,True,100,1,0.001,element_wise_huber_loss,False,8,0.3,200000,10,0.05,COMPLETE
29,29,-1.0774955749511719,2020-05-17 06:56:08.755883,2020-05-17 07:07:50.521925,32,True,0.5,No,True,3,0.1,0.99,True,1000,1,0.001,element_wise_huber_loss,False,8,0.3,100000,10,0.05,COMPLETE
