,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_num_heads,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,160.8000030517578,2020-06-03 08:34:41.420759,2020-06-03 08:57:00.634448,0 days 00:22:19.213689000,1,No,6,element_wise_squared_loss,2,10,1,"OrderedDict([('custom_layer_init', [1]), ('custom_lr_schedule', ['No']), ('layer_type', [6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
1,1,160.79998779296875,2020-06-03 08:57:00.637442,2020-06-03 09:30:59.483599,0 days 00:33:58.846157000,1,No,6,element_wise_squared_loss,2,5,0,"OrderedDict([('custom_layer_init', [1]), ('custom_lr_schedule', ['No']), ('layer_type', [6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
2,2,148.25,2020-06-03 09:30:59.491959,2020-06-03 10:09:06.665484,0 days 00:38:07.173525000,1,No,6,element_wise_squared_loss,4,10,3,"OrderedDict([('custom_layer_init', [1]), ('custom_lr_schedule', ['No']), ('layer_type', [6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
3,3,167.1999969482422,2020-06-03 10:09:06.667478,2020-06-03 10:34:17.750392,0 days 00:25:11.082914000,1,No,6,element_wise_squared_loss,4,5,2,"OrderedDict([('custom_layer_init', [1]), ('custom_lr_schedule', ['No']), ('layer_type', [6]), ('loss_function', ['element_wise_squared_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
