,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,550.9890747070312,2020-05-29 08:50:03.116409,2020-05-29 09:00:50.169534,0 days 00:10:47.053125000,0.5,Transformer,1,element_wise_huber_loss,10,3,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
1,1,190.76681518554688,2020-05-29 09:00:50.171529,2020-05-29 09:45:35.137162,0 days 00:44:44.965633000,0.5,No,1,element_wise_huber_loss,5,0,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
2,2,549.5736083984375,2020-05-29 09:45:35.139206,2020-05-29 09:58:52.907667,0 days 00:13:17.768461000,1.0,Transformer,1,element_wise_huber_loss,10,7,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
3,3,466.93939208984375,2020-05-29 09:58:52.909664,2020-05-29 10:03:44.475386,0 days 00:04:51.565722000,1.0,Transformer,1,element_wise_huber_loss,5,6,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
4,4,527.2318115234375,2020-05-29 10:03:44.476339,2020-05-29 10:09:31.548800,0 days 00:05:47.072461000,0.5,Transformer,1,element_wise_huber_loss,5,2,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
5,5,524.896728515625,2020-05-29 10:09:31.550752,2020-05-29 10:46:43.716939,0 days 00:37:12.166187000,1.0,No,1,element_wise_huber_loss,10,5,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
6,6,-128.60743713378906,2020-05-29 10:46:43.717936,2020-05-29 11:38:05.196467,0 days 00:51:21.478531000,0.5,No,1,element_wise_huber_loss,10,1,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
7,7,575.12060546875,2020-05-29 11:38:05.198461,2020-05-29 11:49:15.720917,0 days 00:11:10.522456000,1.0,No,1,element_wise_huber_loss,5,4,"OrderedDict([('custom_layer_init', [0.5, 1]), ('custom_lr_schedule', ['No', 'Transformer']), ('layer_type', [1]), ('loss_function', ['element_wise_huber_loss']), ('target_update_period', [5, 10])])",COMPLETE
