,number,value,datetime_start,datetime_complete,duration,params_custom_layer_init,params_custom_lr_schedule,params_layer_type,params_loss_function,params_num_heads,params_target_update_period,system_attrs_grid_id,system_attrs_search_space,state
0,0,154.54998779296875,2020-06-01 23:11:16.272743,2020-06-02 00:40:53.204431,0 days 01:29:36.931688000,0.5,No,3,element_wise_huber_loss,2,5,4,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
1,1,172.85000610351562,2020-06-02 00:40:53.206210,2020-06-02 02:10:03.630445,0 days 01:29:10.424235000,0.5,No,3,element_wise_huber_loss,2,10,5,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
2,2,147.35000610351562,2020-06-02 02:10:03.633823,2020-06-02 03:39:17.910463,0 days 01:29:14.276640000,0.5,No,1,element_wise_huber_loss,2,10,1,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
3,3,155.25,2020-06-02 03:39:17.914299,2020-06-02 05:08:42.332495,0 days 01:29:24.418196000,0.5,No,1,element_wise_huber_loss,4,10,3,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
4,4,143.64999389648438,2020-06-02 05:08:42.336674,2020-06-02 06:38:24.407619,0 days 01:29:42.070945000,0.5,No,1,element_wise_huber_loss,4,5,2,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
5,5,168.70001220703125,2020-06-02 06:38:24.412829,2020-06-02 08:09:07.482551,0 days 01:30:43.069722000,0.5,No,3,element_wise_huber_loss,4,10,7,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
6,6,138.54998779296875,2020-06-02 08:09:07.486553,2020-06-02 09:40:46.600387,0 days 01:31:39.113834000,0.5,No,1,element_wise_huber_loss,2,5,0,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
7,7,202.39999389648438,2020-06-02 09:40:46.603584,2020-06-02 11:16:56.852949,0 days 01:36:10.249365000,0.5,No,3,element_wise_huber_loss,4,5,6,"OrderedDict([('custom_layer_init', [0.5]), ('custom_lr_schedule', ['No']), ('layer_type', [1, 3]), ('loss_function', ['element_wise_huber_loss']), ('num_heads', [2, 4]), ('target_update_period', [5, 10])])",COMPLETE
